Experiment,Model,Best Parameters,CV F1-Macro,Test Accuracy,Test Precision-Macro,Test Recall-Macro,Test F1-Macro,Test F1-Weighted
baseline_tfidf_only,Naive Bayes,{'alpha': 1.0},0.411358736655474,0.5666666666666667,0.5757326964223516,0.5666666666666667,0.5705132367902678,0.5705132367902677
baseline_tfidf_only,Logistic Regression,"{'C': 0.1, 'solver': 'liblinear'}",0.4263300565258901,0.5333333333333333,0.5252100840336135,0.5333333333333333,0.5280172413793104,0.5280172413793104
baseline_tfidf_only,Linear SVM,{'C': 0.01},0.4288082380423992,0.5333333333333333,0.5252100840336135,0.5333333333333333,0.5280172413793104,0.5280172413793104
baseline_tfidf_only,Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.4345309593531713,0.5333333333333333,0.5461321250328343,0.5333333333333333,0.5134245363078315,0.5134245363078315
advanced_tfidf_plus_emoji,Naive Bayes,{'alpha': 1.0},0.42021089038653026,0.5777777777777777,0.5844854070660522,0.5777777777777778,0.5807424156774071,0.5807424156774073
advanced_tfidf_plus_emoji,Logistic Regression,"{'C': 1.0, 'solver': 'liblinear'}",0.43944869905297834,0.5666666666666667,0.5586419753086419,0.5666666666666668,0.5598086124401914,0.5598086124401913
advanced_tfidf_plus_emoji,Linear SVM,{'C': 0.1},0.44196187063591735,0.5777777777777777,0.5701058201058201,0.5777777777777778,0.5709931830621485,0.5709931830621485
advanced_tfidf_plus_emoji,Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.44224155453745057,0.43333333333333335,0.4619047619047619,0.4333333333333333,0.42566137566137563,0.4256613756613757
