Model,Best Parameters,CV F1-Macro,Test Accuracy,Test F1-Macro,Test F1-Weighted,Test Precision-Macro,Test Recall-Macro
Naive Bayes,{'alpha': 2.0},0.4310664377806194,0.5444444444444444,0.5452965329875582,0.5452965329875583,0.546372512668397,0.5444444444444444
Logistic Regression,"{'C': 0.5, 'solver': 'lbfgs'}",0.4615865817520294,0.4777777777777778,0.4747159337323272,0.4747159337323271,0.474145925758829,0.4777777777777777
Linear SVM,{'C': 0.1},0.4695713990950157,0.4777777777777778,0.4747159337323272,0.4747159337323271,0.474145925758829,0.4777777777777777
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.44591103843717345,0.3888888888888889,0.385022385022385,0.38502238502238506,0.38816738816738816,0.38888888888888884
XGBoost,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.4166479389263184,0.43333333333333335,0.4351391367070347,0.4351391367070346,0.4493841259482829,0.4333333333333333
